linkedin_headline,liked_tweets,event_1,event_2,event_3,dwell_times,sku_views,cat_gt_1,cat_gt_2,best_offer_id,user_id
VP of Sales | FinTech,"['Incredible keynote on the future of FinTech innovation! #FinTechRevolution', ""Just closed our biggest deal of the quarter and couldn't be prouder of my team! #SalesSuccess"", 'Learning so much at this conference on the intersection of technology and finance. #TechFinance']",view_product,add_to_cart,purchase,"[2.5, 1.75, 3.2]","[5, 3, 2]",Electronics,Books,OFFER03,1
VP of Sales | Biotech,"['Great insights from the Biotech Summit this year! The future of personalized medicine is closer than we think.', 'Excited about the latest innovations in gene editing—truly groundbreaking work being done!', 'Thrilled to see so many strong leaders pushing boundaries in the biotech space.']",Homepage Visit,Product Search,Product Detail View,"[12.5, 8.3, 15.7]","[5, 3, 1]",Health,Beauty,OFFER05,2
Machine Learning Engineer | Gaming,"['Spent the weekend diving into the latest game engine updates. Incredible stuff!', 'Finally beat that boss level after countless tries. Victory tastes sweet.', 'Excited to see how AI is revolutionizing NPC interactions in gaming. The future looks promising!']",Product View,Add to Cart,Purchase,"[12.5, 7.8, 15.2]","[3, 5, 2]",Electronics,Toys,OFFER03,3
Pharmaceutical Regulatory Lead | Hospitality,"['Just finished an amazing book on leadership in the pharmaceutical industry. Highly recommend it!', 'Excited to see how the latest hospitality trends are transforming the customer experience.', 'Thrilled to announce our new partnership that will enhance regulatory processes across the board!']",Product View,Add to Cart,Purchase,"[12.5, 5.8, 23.4]","[3, 2, 1]",Health,Food & Grocery,OFFER09,4
Finance Controller | Automotive,"['Excited about the new tech advancements in the automotive finance sector!', 'Just attended an amazing seminar on automotive financing - learned so much about risk management!', ""Incredible insights on the future of automotive leasing from today's panel discussion.""]",homepage_view,product_search,product_click,"[2.5, 4.7, 1.9]","[3, 5, 2]",Automotive,Electronics,OFFER02,5
AI Specialist | FinTech,"['Excited to see how AI is transforming financial services! #FinTech', 'The future of AI in finance is brighter than ever. #Innovation', 'Just used a chatbot to manage my investments - the future is now! #AIinFinance']",homepage_view,product_click,add_to_cart,"[2.5, 5.3, 4.1]","[3, 5, 2]",Electronics,Books,OFFER03,6
UX Lead | Aerospace Innovation,"['Just attended a fascinating webinar on the future of AI in aviation. #AviationTech', 'Excited to see the new developments in the commercial space travel sector! 🚀', 'The latest AR tools are game-changers for user experience design. #UXDesign']",Homepage Visit,Product Detail View,Add to Cart,"[5.2, 3.7, 4.1]","[12, 5, 1]",Electronics,Books,OFFER05,7
Esports Team Coach | Legal Tech,"['Excited about the new gaming strategy my team and I are developing!', 'Just finished a fantastic legal tech webinar. The future of law is digital!', ""Incredible match today! Proud of my team's teamwork and dedication.""]",Homepage Visit,Product Search,Product View,"[5.3, 8.7, 12.1]","[3, 5, 2]",Sports,Electronics,OFFER03,8
Quantitative Analyst | Digital Art,"['Just attended a fascinating webinar on AI-generated art and its impact on traditional artistic mediums! #DigitalArt #AIArt', 'Attending the Quantitative Finance Conference and the data-driven insights are mind-blowing! #QuantFinance', 'Exploring the intersection of data science and creative design. The future looks promising! #DataScience #DigitalCreativity']",browse,add_to_cart,purchase,"[4.5, 2.7, 5.3]","[1, 3, 1]",Electronics,Books,OFFER03,9
AI Research Scientist | AI Research,"['Excited to see where AI is headed in 2024! The future is bright.', 'The impact of AI on healthcare is truly revolutionary.', 'AI in education is reshaping how we learn. Incredible times!']",view_item,add_to_cart,purchase,"[12.5, 8.3, 15.7]","[1, 1, 3]",Electronics,Books,OFFER04,10
Renewable Energy Project Engineer | Sports Analytics,"['Absolutely blown away by the last game! That overtime goal was pure magic. #SportsMagic', ""Can't believe how advanced AI has become in predicting game outcomes. Truly changing the way we understand sports."", 'Just finished a book on the psychology behind team dynamics. Fascinating insights on how small changes can make big differences!']",Product Viewed,Added to Cart,Purchase Completed,"[5.4, 3.2, 7.1]","[12, 8, 15]",Sports,Electronics,OFFER05,11
